user_name,text,link
godong901,오졋다사랑해문재인,https://twitter.com/godong901/status/1145119596774600707
shakeel9618,"Yaha bhuth hai,khatam hota nakoo samjhooo.",https://twitter.com/shakeel9618/status/1145119249981005824
Rocladl,"방송 언론 기능 박근혜 탄핵 전과 그 이후 별로 달라진 것 없는 듯. 이명박근혜 정부 기레기로 전락, 현 정부에서도 변화에 둔감 기대에 못 미쳐. 스스로 변화하지 않으면 기레기 신세 못면해 고발뉴스닷컴 모바일 사이트, 거짓으로 판명난 ‘문재인 홀대론’ 확산시키는 언론 ",https://twitter.com/Rocladl/status/1145119206200840192
SCKlCYwdJMwseHM,"靑, 조선일보에 “토착왜구 같은 시각, 한심하다” http://www.mediatoday.co.kr/news/articleView.html?idxno=200867 아베=이토히로부미 문재인=고종 비유한 논설실장 칼럼에 “글 쓴 사람이 역사학자도 아니고 역사전문가도 아니기 때문에 귀 기울여 들을 내용은 아닌 것 같다. 이런 토착왜구적인 시각이 언론계에도 퍼져있는 것이 한심하다”",https://twitter.com/SCKlCYwdJMwseHM/status/1145119182624661505
young90909,당신 동네에서 노세요 트윗보니까 박사모이신거 같은데,https://twitter.com/young90909/status/1145119156573835264
c2bwsjuhmEW3tbX,,https://twitter.com/c2bwsjuhmEW3tbX/status/1145119102458970113
TooLowBrow,@fluffalcat see this?,https://twitter.com/TooLowBrow/status/1145119026592571393
shakeel9618,"Earth quake aata bolke phale Japan ku save,cow and beffwellow chalre nako samjhooo.",https://twitter.com/shakeel9618/status/1145118986360651776
TooLowBrow,I'm not into kpop at all but I'd still love to meet bts. But that's not bts.,https://twitter.com/TooLowBrow/status/1145118900004294656
jane78pisces,@YTN24 문재인부부라고 방송에서 거듭말한한연희 도대체 기자들은 이렇게무식하고못배워먹어야자격이생기는건가 트럼프한테는호칭꼬박꼬박붙이면서 #한심한한국기레기,https://twitter.com/jane78pisces/status/1145118719758094336
hQcar5N4o2w8ruA,YTN 한연희 기자인가 뭔가하는 썅년 뭐? 문재인부부? 연예인부부부르듯이 부르네 야~~트럼프한테는 대통령하면서 왜 문프한테는 문재인부부? 니 더위벌써쳐먹었냐?,https://twitter.com/hQcar5N4o2w8ruA/status/1145118707179372544
pbjs9876,청와대 오사카 G20 정상회의 참석을 마친 도널드 트럼프 @realDonaldTrump 미국 대통령이 문재인 대통령과의 정상회담을 위해 우리나라를 찾았습니다. 두 성장은 녹지원을 함께 산책하며 상춘재로 이동했습니다. ,https://twitter.com/pbjs9876/status/1145118649079873536
Hanna6104,#RT @WWEXOL: RT @CurtisSChin: At South Korea’s Blue House @POTUS @realDonaldTrump is greeted by @moonriver365 &amp; #KPop band #EXO. (Radio pool photo: @karentravers) Ht @W7VOA Hello #Seoul! This ex-US ambassador gives a shout-out to these present-day EXO-…,https://twitter.com/Hanna6104/status/1145118557115752448
BBCLBicker,"Errr David, this is EXO not BTS",https://twitter.com/BBCLBicker/status/1145118335119454208
pbjs9876,"청와대 도널드 트럼프 미국대통령이 문재인대통령과의 정상회담을 위해 우리나라를 찾았습니다.만찬 직전 리셉션에는 두 정상과 김정숙여사,양국 수행원들이 함께 했으며 K-Pop스타인 엑소와 박세리 감독도참석.환대와 우정이 가득했던 청와대상춘재의저녁",https://twitter.com/pbjs9876/status/1145118171185029120
xodmfal,"#주사파 #문재인 노벨평화상에 환장한 건가? 아님 남한 대통령인지 북한 대통령인지 헷갈리나? G20에 가서도 북한북한 앉으나 서나 북한북한 남한 경제 죽어 나가고, 서민들 자살하고, 강원도 산불 이재민도 버리고, 오로지 북한. 돈 기름 쌀 퍼줘..북한에 처자식이 많은가? ",https://twitter.com/xodmfal/status/1145118124917739520
FionaGossHarris,That’s not BTS,https://twitter.com/FionaGossHarris/status/1145117996249169922
abhf45,북한 외무성 문재인 대통령 비판은 달라진 한반도 비핵화 담판셈법 때문 : 네이버 카페 http://naver.me/5tslIB7o,https://twitter.com/abhf45/status/1145117851457449984
