user_name,text,link
kei3kun,유기준 : 대표적인 친박계 조경태 : 친노였다가 문재인에게 밀리자 새누리당으로 철새짓 정미경 : 역시 바른정당 갔다가 김성태처럼 복당하는 철새짓 그리고 얼마전 이순신 장군 12척 배처럼 문재인 세월호 한척 발언으로 논란 이런 인간들 뽑지말자 제발 ,https://twitter.com/kei3kun/status/1222670526746746880
bulkoturi,"나는 한겨레신문에서 이런 친문적인 글이 올라올 때마다 청와대 문을 살핀다. 김의겸 트라우마 때문. 윤석열 검찰이 '살아있는 권력 상대로 하는 수사'를 정치에 뛰어든 것으로 몰고 싶겠지만, 그것은 문재인 대통령 자신이 부탁할 정도로 검찰의 본령 아닌가 #정중규",https://twitter.com/bulkoturi/status/1222670087762563074
8QY8ZDHL8H46ZDp,문재인과 밑에 꼬봉 아는사람 한 사람도 없음 사취.절취에는 명수들이다 목줄을 비틀어 공포심을 유발해 스스로 항복하게 만드는 것이다 ,https://twitter.com/8QY8ZDHL8H46ZDp/status/1222669917545103360
qtUoiG1rF7B9q3C,문재인 대통령님 무한 응원합니다 존경합니다 감사합니다 ,https://twitter.com/qtUoiG1rF7B9q3C/status/1222669393911398402
faithNsaving,민주당 영입 14호 조동인의 2016년 페북글 “(지난 대선 때)...문재인 후보의 행보는 정말이지 마음에 들지 않았지만 투표장에 가서는 결국 비정상이 아닌 ‘정상(안철수)’을 선택할 수밖에는 없었다...” 늬미럴 늬 눈엔 당시 문재인 후보가 비정상으로 보였구나. 원종건에 이어서 놀고자빠진 민주당.,https://twitter.com/faithNsaving/status/1222669129011740674
lyh706,이건 아니지 문재인을 지지한다면서 당을 만들고 표를 갈라 민주당 선거에 방해 결국 문재인을 방해할려고 하는거네 어휴 똥파리들아,https://twitter.com/lyh706/status/1222668966134304769
chojungdong444,문재인의 패거리정치에 너무 화나요. 투표로 심판하고 싶은데 찍을 당이 없어 투표지에 낙서하고 나와야겠다 생각했는데 때마침 선생님이 돌아와서 너무 반가왔어요. 선생님이야말로 반문의 기치 아닙니까? 반문연대를 조직해서 무당층 주권자가 투표할 수 있게 해주세요.,https://twitter.com/chojungdong444/status/1222668733862121473
rctgamma,진천.아산 주민들이 우한교민 수용을 반대하는 가장 근원적인 이유는 문재인 정부에 대한 불신이다 대통령이란 작자가 의료원 의사들과 악수도 하지 않으면서 지역주민들에겐 아무 걱정말고 우한교민을 받아달라? 개 풀뜯어 먹는 소리다,https://twitter.com/rctgamma/status/1222668224732389376
hubris2020,"25%는 조국 부대고, 25%는 박근혜 부대다. 25%는 어차피 투표하지 않는다. 정치란 25%의 마음을 얻는 일이다. 다양한 실정과 부패로 25%의 마음은 이미 민주당과 문재인의 마음을 떠났다. 여당이 이기는 길은 야당이 분열되는 것 뿐이다. 그들의 분열을 유도하기엔 반대쪽의 공분을 너무 키웠다.",https://twitter.com/hubris2020/status/1222668198924800001
Loire1,@WHO @DrTedros @CDCDirector @CDCGlobal @CDCemergency @CDCgov @ChinaDaily @ReutersChina @ChinaRealTime @HongKongFP @hongkong_news @YonhapNews @moonriver365 @DrPyo @XHNorthAmerica @XHnews1 @XHNewsSydMUN17 @XHNews_AYIMUN17 @realDonaldTrump @RoyalFamily @KensingtonRoyal @piersmorgan,https://twitter.com/Loire1/status/1222668132210233344
