user_name,text,link
U_Sin_18YR,문희상 국회의장은 또 왜저러지?? 박근혜사면을 문재인 대통령이 지금 하려면.... 불법을 저지르라는 말인데!! 적기는 무슨!! 아들 낙선됐다고 삐졌나??????,https://twitter.com/U_Sin_18YR/status/1263620470785445888
belovedwitch02,대통령님 말씀은 항상 옳습니다 ,https://twitter.com/belovedwitch02/status/1263620202400329729
Kwanghoon15,반인권적인 인간은 문재인이다. 그렇게 포악한 놈은 한국에서는 태어 나지 않았을것.,https://twitter.com/Kwanghoon15/status/1263620034221404160
0011_9561,그런데 이걸 알아야지. 문재인 정부 출범이후 한겨레를 신적폐로 규정하고 '한걸레'로 부르던 대깨문들이 유일하게 한겨레를 칭찬하며 기사를 퍼나른 게 이 보도였다는 것 말이지. 그럼 이제부터 대깨문들은 또다시 한겨레를 '한걸레'라고 부르면 윤석열이 접수했다고 광광댄다는 것은 안봐도 비됴지,https://twitter.com/0011_9561/status/1263619470012018689
Kwanghoon15,문재인 개새끼 성격상 대통령 사면 못할것 같다고? 문희상이 지껄였다. 국민은 빨갱이놈이 지독하고 악한 놈이라는것은 벌써 알고 있었지.,https://twitter.com/Kwanghoon15/status/1263619319818104832
ISgVNWDEz27a5xW,지금 민중들 대 위기를 맞고 있다 코로나 사태에 편승한 문재인 정권이 질식 할만한 기세로 의료민영화를 밀어 부치고 있다 민영화 도미노로 우리는 독점자본재벌에게 팔려나가는 노예가 될 것이다,https://twitter.com/ISgVNWDEz27a5xW/status/1263619166264688640
bluesea_scent,"문재인 조국 윤미향, 김경수... 그외 저 떨거지들 모두의 끝없는 거짓말과 조작왜곡에 이제 거짓말 하고도 조작왜곡 하고도 부끄러운 줄도 모르고 뻔뻔하게 더한 거짓말로 덮으려는 것들이 지천이다. 그럼에도 거짓말에 동조하지 않고 불이익을 감수하더라도 조작왜곡 않는 이들이 있어 희망이 있다. ",https://twitter.com/bluesea_scent/status/1263619079132200960
progressiveman7,@moonriver365 ,https://twitter.com/progressiveman7/status/1263619044889915392
ananda0410,"민주당 대표를 포함한 국회의원들 하는 꼬라지를 보고 있자니 저희들도 속이 뒤집어질 것 같은데 통령 맘이 어떠실까,생각하니... 어쨌든 건강부터 챙기시길 간절히 바랍니다..",https://twitter.com/ananda0410/status/1263619042893393921
nannana1232,"문재인 의 성격을 아는데 민정수석 때 했던 태도를 보면 아마 못할 것 문희상 ""문 대통령 성격상 이명박·박근혜 사면 못할것"" - ",https://twitter.com/nannana1232/status/1263619001126510592
bongpallii,"문재인 의 성격을 아는데 민정수석 때 했던 태도를 보면 아마 못할 것 문희상 ""문 대통령 성격상 이명박·박근혜 사면 못할것"" - https://m.news.zum.com/articles/60265892?cm=news_edit&amp;r=1&amp;thumb=1",https://twitter.com/bongpallii/status/1263618999536902144
gurumann3,[Why Times NEWS] 문재인 정부는 왜 “5·24 대북제재조치”를 폐기했을까? (2020.5.21) https://youtu.be/dXjYm7GoVmc @YouTube 님이 공유,https://twitter.com/gurumann3/status/1263618991202816001
NothingorNot,"아무래도 캠을 가방에 꽂고 다녀야 될듯.내 주변에 이상하게 여겨지는 무엇들이 많은 와중인데,이건 영상으로 봐야 실감남.이상하게 일하는 자들 편집을 취미로 삼을까봐.무슨 일을 그 따위로 하는지,수도 없네.대한민국 다들 멋대로 일하는 듯 한데.안망함?#821052679254김태희",https://twitter.com/NothingorNot/status/1263618632719859712
jinse31,문재인 미국 중국 누구 편에 설까?,https://twitter.com/jinse31/status/1263618422165782529
sunj0923,대통령님!!! 늘 응원합니다. 검언개혁!!!,https://twitter.com/sunj0923/status/1263618383246852096
supportljm," 막판에 초심을 잃고 거수기 노릇에 충실 하더니... 오로지 주권자들을 생각했어야지... 문재인 대선 선거운동까지는 봐줄만 했어 이재명 깔 때는 좋았겠지 김경수를 옹호하기도 했었지 손혜원 쉴드 칠 때는 내가 왜 그랬을까? 12상시, 꾹이갱시미이 쉴드 치려다 안되겠다 싶었지. ",https://twitter.com/supportljm/status/1263618245749116929
Liberty_KOR,뭐지? 문재인이 폐렴진앙국에 마스크 보낸 건 쉬쉬해놓고서는. 경북지방 시장이 일본 지원하니까 [단독]이래. [단독] 이 시국에… 일본에 방역물품 지원한 경주시장 출처 : 서울신문 | 네이버 http://naver.me/FSKuQzhF,https://twitter.com/Liberty_KOR/status/1263617895151448065
