user_name,text,link
Peakprosperous,전국으로 확산되고있는 우한코로나 보다 더 심각한것은 문재인의 생각과 언행이다. 책임을 신천지에 덮어씌우고 빠져나갈 생각도하지마라 ,https://twitter.com/Peakprosperous/status/1233542377282863104
jy7821,문죄인 현진행형태가 구원파 유병언사건과 문재인 신천지 이만희가 문재인 대통령홍보용으로 써고 이용가치가 없어니 버린것인지 이만희의고백이 궁금하다,https://twitter.com/jy7821/status/1233542357888327680
qww9609,문재인 대통령 응원 청원 언제 2000만명 가나요? 우리들 친지 가족 친구 모두 클릭 한번 부탁해야 할 것 같아요. 적폐세력들이 탄핵하라고 벌써 130만명을 넘겼습니다.,https://twitter.com/qww9609/status/1233542279110909952
dGepQKGdHNoUIEH,기도로 주님의 은총을 받아 코로나를 퇴치 할 수 있도록 신천지 신도를 한곳에 모아서 격리하고 신앙으로 퇴치해야한다 코로나가 없어질때까지 기도하라...,https://twitter.com/dGepQKGdHNoUIEH/status/1233542209540018177
anlover_ms,이틀 만에 1000명 → 2000명…대구 경증환자 자택 치료 검토 [‘코로나19’ 확산 비상] (출처 : 경향신문 | 네이버 뉴스) http://naver.me/F4eTOTE5 자택치료...ㅜㅜ 문재인은 뭔 말이없냐. 대책이란게 도대체 마스크 희망고문말고 뭐가있냐????,https://twitter.com/anlover_ms/status/1233542195732455425
5n2_human,"그 사람이 바로 인간 문재인이자 문재인 대통령이지 않을까~~!!! 상대방에 대한 인생 최대의 욕이 친구 노무현에 험담하는 홍두깨비한테 했던 ""이보세요~~~!!!"" 였다니. 아무것도 아닌 그런것에도 사과를 했다니~ ",https://twitter.com/5n2_human/status/1233542162182070272
jeon9730,"문재인 정신차려! 문재인 앞, '핵 돌직구' 제대로 날린 황교안! / 황교안TV https://youtu.be/v91NZkAl19g @YouTube 님이 공유",https://twitter.com/jeon9730/status/1233541984624746497
inkijima1,왜 이름 못 밝히는데. 우리는 너히들 성명 다 밝혔다. 유사민. 을 필두로 이해찬 문재인이.,https://twitter.com/inkijima1/status/1233541923958349824
The_truth_eye,"문재인,박원순 패거리는 '중공간첩'이니까요 그러니 중공이 저들의 조국이고,지금은 중공강점기로 보는게 제일 정확합니다. 자유 독립운동은 벌써 사이버 대전으로 시작 되었습니다.",https://twitter.com/The_truth_eye/status/1233541846472638465
mnowxyz1,이사람! 모하는사람이지?,https://twitter.com/mnowxyz1/status/1233541844996247552
JdAoFW2g01qSP2D,어이 삶은소대리씨 메르스 때 삶은 소대가리씨가 뭐라했는지 잊었는가? 뭐? 메르스 전파자가 박근혜 정부라고? 이런 그냥 확마 싸데기를 얼굴 마빡에 똥퍼는 바가지로 날려버리겠으면 좋겠네 이살인마야 중국 짱개들을 입국금지. 못시킨 니놈이 사망의 원흉이다 천벌을 받을것이다 반드시 그럴것이다,https://twitter.com/JdAoFW2g01qSP2D/status/1233541688028737537
Time_twwtter,"방탕한 행정이 작금의 한국인 왕따로 되돌아 왔으니 이 책임은 1선 박능후, 간경화요 2선은 문재인이다. 문재인은 자진 하야하라. 마땅히 국민을 바이러스로 인식한 발언자 박능후, 회복불능의 외교참패 간경화는 파면해야 한다. ",https://twitter.com/Time_twwtter/status/1233541673038352385
llYHTll,문재인 대통령 존재가 거의 맨유 보드진 우드워드급이거나 아니면 졸렬한 라이올라 같은 존재감인게 분명해.....,https://twitter.com/llYHTll/status/1233541627492388864
kyh3259,자가격리 중인 내국인 확진자도 해장국 먹으러 외출하는 판에 중국인 유학생을 스마트폰 앱으로 자율에 맡긴다는 정신 나간 #문재인 정부 이게 중국인 입국금지 불허 사유중에 하나죠.,https://twitter.com/kyh3259/status/1233541608676700160
nowonloveahn,문재인정권 박원순이 하는 꼬라지좀 보소. 중국에 꼬리치는 원숭이 ,https://twitter.com/nowonloveahn/status/1233541602066329601
eagle_3rd,"정치꾼 되길 잘혔소!!! 귀하의 사고력으로 판사질 계속 했다면 여러 명 뒈졌을거요. 귀하는 내로남불계 국대요. 유병언, 문재인, 전남지사, 목포해양청, 인천항만 등의 문제를 두고 세월호만 우려 박근혜 씹어대던, 그 때 그 시절의 기생충들이 많았는 데, 귀하는 들은 적 없소? 본 적도 없겠구려?",https://twitter.com/eagle_3rd/status/1233541576363626496
poooooooohs,"문재인 개인적으로 실망한 것 중에 하나는 광화문 집무실 포기. 이게 다른 국가 사업보다 그렇게 어려운 일인지 잘 모르겠다. 세종으로 옮기라고 하는 것도 아니고, 현역이 어려우면 차기를 위해 공간 확보 하고 있나? 무슨 박정희의 저주가 걸려있나 들어가면 다 맛 가고 나올 생각을 안해...",https://twitter.com/poooooooohs/status/1233541348419985408
dannyyou67,"당연히 이번선거에도개입하겠죠, 문재인이 중국짱게들 입국금지 않하는 이유중 하나죠..",https://twitter.com/dannyyou67/status/1233541273241497601
hawycliffe,‘“우리는 청원자들을 탄핵한다” 쏟아진 ‘문재인 응원’ 청원 http://bit.ly/32zxuLw 이만희랑 문재인이랑 똑같은,https://twitter.com/hawycliffe/status/1233541242245480448
jeon9730,"문재인 꾸짖은 황교안대표 ""국민앞에 사죄해라"" 팩폭!! https://youtu.be/OnC7G0Ci488 @YouTube 님이 공유",https://twitter.com/jeon9730/status/1233541047050997762
king_korea62,문정부 말련에 나라돈 죄다 거덜나겠네 !! 문재인이가 하야 하던 탄핵시키던 해야 나라가 바로 선다는 점 명심하라 !! 대깨문들아 !!,https://twitter.com/king_korea62/status/1233540912745197577
qww9609,문재인 대통령 응원 청원 언제 2000만명 가나요? 우리들 친지 가족 친구 모두 클릭 한번 부탁해야 할 것 같아요. 적폐세력들이 탄핵하라고 벌써 130만명을 넘겼습니다..,https://twitter.com/qww9609/status/1233540828288602112
inkijima1,그럼 문재인이 와 이만희의 관계를 먼저 밝히고 나서 황교안은 탓하여라 너도 국회의원 일테니. 분명히 말해라!산천지 를 볼모로 잡으려는 흑심을. 밝혀라.,https://twitter.com/inkijima1/status/1233540814225203201
BreakNewsCom,"문재인 대통령 &amp;quot;중국인 입국금지, 초기라면 몰라도 실효 없어&amp;quot; / 브레이크뉴스 ",https://twitter.com/BreakNewsCom/status/1233540769006399489
qww9609,문재인 대통령 응원 청원 언제 2000만명 가나요? 우리들 친지 가족 친구 모두 클릭 한번 부탁해야 할 것 같아요. 적폐세력들이 탄핵하라고 벌써 130만명을 넘겼습니다..,https://twitter.com/qww9609/status/1233540755324461056
qm5KEPkkFpXjlPk,그런 바보 문재인님이 우리의 대통령인게 넘 자랑스럽다. 국민을 위한 세계 최고의 리더. 그런 대통령을 보유한 자랑스런 우리나라 우리국민. 우리는 최고.!!!,https://twitter.com/qm5KEPkkFpXjlPk/status/1233540747426557952
ss672112,자기일을 남 얘기하듯 하는 재주가 있으시구만. 당신같은 똥파리들 이야말로 정권홍보에 득이되지 않는다면 고귀한 국민의 생명마저도 내팽게치고 걷어차대는 오직 문재인교의 광신자들이요 홍위병들인거 모르는이 있을까? 영혼을 팔아던진 똥파리와는 나도 말섞기 짜증나니 그만합시다...,https://twitter.com/ss672112/status/1233540628157550600
kimwoong1081,이런 기레기 새끼들 진주 의료원 같은거 없앨때 뭐라했을까 문재인케어 맹글때 뭐라 했을까 사뭇 궁금한일인~ ,https://twitter.com/kimwoong1081/status/1233540469176569856
Peakprosperous,문재인과 시도지사들은 우한코로나 때문에 고통받고 죽어나가는 한국 국민들 보다 먼저 중국 공산당 과 중국인민들이 우선살아야 한다고 생각하는지를답해라. ,https://twitter.com/Peakprosperous/status/1233540445545865218
gksmftkxkd,"이것보다 자신의 무능을 잘 실토하기는 어렵겠다. 초기에도 대통령은 문재인이었고, 컨트롤타워였다. ",https://twitter.com/gksmftkxkd/status/1233540304197869569
YJKIMENA1,공지영 이번 코로나바이러스에 대한 문재인과 조국의 행동에 대해 한마디 해봐! ,https://twitter.com/YJKIMENA1/status/1233540006695751680
BPtENgL0eBOLg66,당연히 집회건 예배건 지금은 하면 안돼죠 그걸 왜 저한테 막으라고 하시나요??? 문재인도 국민 설득 못하는 일을 왜저한테ㅋ,https://twitter.com/BPtENgL0eBOLg66/status/1233539913020252165
jsh7e15,"문재인식 안전한 나라 이게 말이되냐? AP는 ""한국에서는 수백명이 할인점에서 마스크를 사기 위해 줄을 섰다""며 ""화장지와 냅킨이 마스크로 사용될 수 있다는 소문은 몇 주간 아시아에서 종이 제품 진열대를 비웠다""고 표현 ",https://twitter.com/jsh7e15/status/1233539904857989120
chang301411,"문재인과 박능후 는 쌍둥이., ",https://twitter.com/chang301411/status/1233539823002169352
wjdgis1,ㅋㅋㅋㅋㅋㅋ,https://twitter.com/wjdgis1/status/1233539810804920320
parannalgae,컨트롤타워가 개판이란 뜻. 대구 경북을 심각단계로 해 놓기만 하고 정부는 손놓고 있다. 대구는 사실상 봉쇄됐고 정부의 지휘가 아니라 개인들이 봉사에 나서고 있다. 포항지진 대처 보고 예상은 했지만 이정도일 줄은.. 문재인정부의 최후가 어떻게 될지 두눈 부릅뜨고 지켜볼 것이가 #문재인탄핵,https://twitter.com/parannalgae/status/1233539757801476096
txSLtiJ6cT7m8f1,"국가의 에너지 정책이 집권당이 달라지면 바뀌는 그런 것인가요? 원자력, 화력 및 신재생에너지가 균형잡힌 에너지 정책 필요한것이 아닌가요? 원자력, 화력에 종사하는 국민들은 적폐가 아닙니다, 부디 한번더 살펴주소서. 명회라고 오타가 났네요. 명예퇴직.ㅠㅠ",https://twitter.com/txSLtiJ6cT7m8f1/status/1233539755801022464
xm6m2b0e,"국정원 인공지능 스피커가 ""문재인 미쳤단다."" 그리고 다른 목소리로 ""그만해라 성용아 문재인 골치 아프단다."" 하고 싶은 말 문재인 골치 아픈거 신경 쓸일 아니고 국민이 골치 아픈거 신경 써야 한다.",https://twitter.com/xm6m2b0e/status/1233539747051532288
QArmyKorea1,"재밌는 상황! 중국의 2차 발병이 빠를까? 아니면 ~.~"" 문재인 장쩌민 카톨릭 글로벌리트 연대가 빠를까? 시진핑과 김정은은 계산 끝내고 문재인 명줄을 놓을려나! 앞가림 못하는 무능한 독재자 시진핑 김정은 문재인 플랜 b 가동일까? 이재명과 박원순이 뛴다",https://twitter.com/QArmyKorea1/status/1233539631133732864
viva_tweet1,문재인의 친중 행각 사드배치 반대 (집권) 사드 환경영항 평가 및 임시 배치 확인 트럼프의 인도태평양 전략 거부 중국 방문 후 중국전략 중국몽 OK 주권을 내주는 3불 정책 합의 (혼밥) (우환폐렴 창궐) 방호복 마스크 조공 중국인 입국 차단 요구 거부 알 수 없는 이유로 중국에 코 꿰인 문재인,https://twitter.com/viva_tweet1/status/1233539528415014912
chang301411,문재인의 정무적 판단의 결과물 .. ,https://twitter.com/chang301411/status/1233539423670865921
QVh027,자유 한국당은 국민적 정서와 동떨어지는 혐오감은 주었을지라도 문재인 정권과 같이 국민을 사지로 내몰거나 경제를 피폐시켜 국민을 괴롭히는 일은 하지 않았다. 왜 보수를 탓할 수 없는 지 문재인이 정권이 일깨워 준 것이다. 혐오감을 주는 놈과 쇼나 해서 나라를 망하게 하는 놈을 택하라면,https://twitter.com/QVh027/status/1233539418541219840
